source_file,match_id,round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,13,1,Triad,attack,13950,10150,3800,1,2,7,5,2,5,4,1,1,0,1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,13,2,Triad,attack,13950,10150,3800,1,2,7,5,2,5,3,2,2,0,2,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,13,3,Triad,attack,13950,10150,3800,1,2,7,5,2,5,2,3,3,0,3,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,13,4,Triad,attack,13950,10150,3800,1,2,7,5,2,5,1,4,4,0,4,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,13,5,Triad,attack,13950,10150,3800,1,2,7,5,2,4,1,3,4,1,3,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,13,6,Triad,attack,13950,10150,3800,1,2,7,5,2,4,0,4,5,1,4,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,14,1,Triad,attack,23500,3550,19950,0,0,8,5,3,5,4,1,1,0,1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,14,2,Triad,attack,23500,3550,19950,0,0,8,5,3,5,3,2,2,0,2,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,14,3,Triad,attack,23500,3550,19950,0,0,8,5,3,5,2,3,3,0,3,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,14,4,Triad,attack,23500,3550,19950,0,0,8,5,3,5,1,4,4,0,4,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,14,5,Triad,attack,23500,3550,19950,0,0,8,5,3,5,0,5,5,0,5,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,15,1,Triad,attack,31250,3750,27500,0,0,9,5,4,4,5,-1,0,1,-1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,15,2,Triad,attack,31250,3750,27500,0,0,9,5,4,4,4,0,1,1,0,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,15,3,Triad,attack,31250,3750,27500,0,0,9,5,4,4,3,1,2,1,1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,15,4,Triad,attack,31250,3750,27500,0,0,9,5,4,3,3,0,2,2,0,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,15,5,Triad,attack,31250,3750,27500,0,0,9,5,4,2,3,-1,2,3,-1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,15,6,Triad,attack,31250,3750,27500,0,0,9,5,4,1,3,-2,2,4,-2,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,1,Triad,attack,33050,3750,29300,1,0,9,6,3,4,5,-1,0,1,-1,0,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,2,Triad,attack,33050,3750,29300,1,0,9,6,3,4,4,0,1,1,0,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,3,Triad,attack,33050,3750,29300,1,0,9,6,3,4,3,1,2,1,1,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,4,Triad,attack,33050,3750,29300,1,0,9,6,3,3,3,0,2,2,0,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,5,Triad,attack,33050,3750,29300,1,0,9,6,3,3,2,1,3,2,1,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,6,Triad,attack,33050,3750,29300,1,0,9,6,3,2,2,0,3,3,0,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,7,Triad,attack,33050,3750,29300,1,0,9,6,3,2,1,1,4,3,1,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,8,Triad,attack,33050,3750,29300,1,0,9,6,3,2,0,2,5,3,2,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,9,Triad,attack,33050,3750,29300,1,0,9,6,3,1,0,1,5,4,1,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,16,10,Triad,attack,33050,3750,29300,1,0,9,6,3,1,0,1,6,4,2,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,17,1,Triad,attack,31150,9850,21300,2,1,10,6,4,5,4,1,1,0,1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,17,2,Triad,attack,31150,9850,21300,2,1,10,6,4,5,3,2,2,0,2,1,allies
