round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner,att_full_buy,def_full_buy,att_eco,def_eco,ult_adv,alive_ratio,kill_progress
11,8,1,0,21800,17650,4150,1,3,5,5,0,1,1,0,4,4,0,1,1,1,0,0,0,-2,0.5,0.8
11,9,1,0,21800,17650,4150,1,3,5,5,0,0,1,-1,4,5,-1,1,1,1,0,0,0,-2,0.0,0.9
11,10,1,0,21800,17650,4150,1,3,5,5,0,0,0,0,5,5,0,1,1,1,0,0,0,-2,0.0,1.0
12,1,1,0,18900,15350,3550,2,1,6,5,1,4,5,-1,0,1,-1,0,1,0,0,0,0,1,0.4444444444444444,0.1
12,2,1,0,18900,15350,3550,2,1,6,5,1,3,5,-2,0,2,-2,1,1,0,0,0,0,1,0.375,0.2
12,3,1,0,18900,15350,3550,2,1,6,5,1,3,4,-1,1,2,-1,1,1,0,0,0,0,1,0.42857142857142855,0.3
12,4,1,0,18900,15350,3550,2,1,6,5,1,2,4,-2,1,3,-2,1,1,0,0,0,0,1,0.3333333333333333,0.4
12,5,1,0,18900,15350,3550,2,1,6,5,1,2,3,-1,2,3,-1,1,1,0,0,0,0,1,0.4,0.5
12,6,1,0,18900,15350,3550,2,1,6,5,1,2,2,0,3,3,0,1,1,0,0,0,0,1,0.5,0.6
12,7,1,0,18900,15350,3550,2,1,6,5,1,1,2,-1,3,4,-1,1,1,0,0,0,0,1,0.3333333333333333,0.7
12,8,1,0,18900,15350,3550,2,1,6,5,1,0,2,-2,3,5,-2,1,1,0,0,0,0,1,0.0,0.8
13,1,1,1,8050,19550,-11500,2,1,7,5,2,5,4,1,1,0,1,0,1,0,1,1,0,1,0.5555555555555556,0.1
13,2,1,1,8050,19550,-11500,2,1,7,5,2,4,4,0,1,1,0,0,1,0,1,1,0,1,0.5,0.2
13,3,1,1,8050,19550,-11500,2,1,7,5,2,3,4,-1,1,2,-1,0,1,0,1,1,0,1,0.42857142857142855,0.3
13,4,1,1,8050,19550,-11500,2,1,7,5,2,3,3,0,2,2,0,0,1,0,1,1,0,1,0.5,0.4
13,5,1,1,8050,19550,-11500,2,1,7,5,2,3,2,1,3,2,1,0,1,0,1,1,0,1,0.6,0.5
13,6,1,1,8050,19550,-11500,2,1,7,5,2,3,1,2,4,2,2,0,1,0,1,1,0,1,0.75,0.6
13,7,1,1,8050,19550,-11500,2,1,7,5,2,3,0,3,5,2,3,0,1,0,1,1,0,1,1.0,0.7
14,1,1,1,13800,4000,9800,0,0,8,5,3,5,4,1,1,0,1,0,1,0,0,0,1,0,0.5555555555555556,0.1
14,2,1,1,13800,4000,9800,0,0,8,5,3,4,4,0,1,1,0,1,1,0,0,0,1,0,0.5,0.2
14,3,1,1,13800,4000,9800,0,0,8,5,3,4,3,1,2,1,1,1,1,0,0,0,1,0,0.5714285714285714,0.3
14,4,1,1,13800,4000,9800,0,0,8,5,3,4,2,2,3,1,2,1,1,0,0,0,1,0,0.6666666666666666,0.4
14,5,1,1,13800,4000,9800,0,0,8,5,3,4,1,3,4,1,3,1,1,0,0,0,1,0,0.8,0.5
15,1,1,1,18650,10150,8500,0,0,9,5,4,4,5,-1,0,1,-1,0,1,0,0,0,0,0,0.4444444444444444,0.1
15,2,1,1,18650,10150,8500,0,0,9,5,4,3,5,-2,0,2,-2,0,1,0,0,0,0,0,0.375,0.2
15,3,1,1,18650,10150,8500,0,0,9,5,4,2,5,-3,0,3,-3,0,1,0,0,0,0,0,0.2857142857142857,0.3
15,4,1,1,18650,10150,8500,0,0,9,5,4,2,4,-2,1,3,-2,0,1,0,0,0,0,0,0.3333333333333333,0.4
15,5,1,1,18650,10150,8500,0,0,9,5,4,1,4,-3,1,4,-3,0,1,0,0,0,0,0,0.2,0.5
